name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Micky & Minnie Kreativbox zum Schulanfang,DOTS,41964,6+,669.0,39.99,,,,,/de-de/product/mickey-mouse--minnie-mouse-back-to-school-project-box-41964,2023-02-28
Panda Ablageschale,DOTS,41959,6+,517.0,19.99,,,,,/de-de/product/cute-panda-tray-41959,2023-02-28
Micky und Minnie Kreativ-Aufnäher,DOTS,41963,8+,95.0,6.99,,,,,/de-de/product/mickey-mouse--minnie-mouse-stitch-on-patch-41963,2023-02-28
Raketen Stiftehalter,DOTS,41936,6+,321.0,19.99,,,,,/de-de/product/pencil-holder-41936,2023-02-28
Großes Message-Board,DOTS,41952,8+,943.0,39.99,,,,,/de-de/product/big-message-board-41952,2023-02-28
Ergänzungsset XXL,DOTS,41935,6+,1040.0,19.99,,,,,/de-de/product/lots-of-dots-41935,2023-02-28
Ultimatives Designer-Set,DOTS,41938,7+,779.0,39.99,,,,,/de-de/product/creative-designer-box-41938,2023-02-28
Stifte-Etui,DOTS,5006277,6+,,9.99,,,,,/de-de/product/hard-pencil-case-5006277,2023-02-28
6er-Set Filzstifte,DOTS,5006274,6+,,16.99,,,,,/de-de/product/marker-6-pack-5006274,2023-02-28
Gaming Armband mit Anhängern,DOTS,41943,6+,37.0,6.99,,,,,/de-de/product/gamer-bracelet-with-charms-41943,2023-02-28
6er-Set Gelschreiber,DOTS,5006275,6+,,16.99,,,,,/de-de/product/gel-pen-6-pack-5006275,2023-02-28
Eiscreme Bilderrahmen & Armband,DOTS,41956,6+,474.0,29.99,,,,,/de-de/product/ice-cream-picture-frames--bracelet-41956,2023-02-28
Regenbogen Armband mit Anhängern,DOTS,41953,6+,37.0,6.99,,,,,/de-de/product/rainbow-bracelet-with-charms-41953,2023-02-28
Ergänzungsset Tiergesichter,DOTS,41931,6+,105.0,3.99,,,,,/de-de/product/extra-dots---series-4-41931,2023-02-28
Kaktus Armband,DOTS,41922,6+,33.0,6.99,,,,,/de-de/product/cool-cactus-bracelet-41922,2023-02-28
Taschenanhänger Narwal,DOTS,41928,6+,85.0,6.99,,,,,/de-de/product/bag-tag-narwhal-41928,2023-02-28
